iter	Passed	Remaining
219	1159	4110
220	1161	4095
221	1164	4081
222	1170	4078
223	1173	4065
224	1175	4050
225	1182	4049
226	1185	4036
227	1187	4021
228	1190	4006
229	1193	3994
230	1197	3985
231	1199	3972
232	1202	3959
233	1206	3950
234	1209	3938
235	1212	3924
236	1214	3909
237	1216	3894
238	1218	3880
239	1222	3872
240	1225	3859
241	1228	3847
242	1230	3833
243	1232	3818
244	1236	3809
245	1239	3797
246	1241	3784
247	1243	3770
248	1245	3757
249	1247	3743
250	1251	3735
251	1254	3722
252	1256	3709
253	1258	3696
254	1260	3683
255	1263	3670
256	1266	3662
257	1269	3650
258	1272	3641
259	1275	3630
260	1279	3621
261	1281	3609
262	1283	3597
263	1286	3585
264	1288	3573
265	1290	3561
266	1294	3553
267	1297	3544
268	1300	3532
269	1302	3520
270	1304	3508
271	1307	3500
272	1309	3488
273	1312	3476
274	1314	3464
275	1316	3453
276	1318	3442
277	1322	3433
278	1324	3422
279	1326	3411
280	1328	3400
281	1330	3388
282	1332	3376
283	1339	3377
284	1342	3366
285	1344	3356
286	1346	3346
287	1352	3342
288	1354	3331
289	1356	3320
290	1358	3309
291	1362	3302
292	1366	3296
293	1369	3287
294	1371	3277
295	1373	3267
296	1377	3260
297	1379	3250
298	1382	3242
299	1385	3232
300	1388	3224
301	1391	3216
302	1393	3206
303	1395	3195
304	1398	3185
305	1401	3177
306	1404	3171
307	1406	3160
308	1409	3151
309	1411	3142
310	1413	3132
311	1418	3126
312	1420	3117
313	1422	3108
314	1424	3098
315	1426	3088
316	1429	3080
317	1432	3073
318	1435	3064
319	1437	3054
320	1439	3045
321	1442	3036
322	1446	3032
323	1449	3023
324	1451	3014
325	1453	3004
326	1455	2996
327	1461	2993
328	1463	2985
329	1465	2976
330	1467	2966
331	1470	2958
332	1475	2955
333	1478	2947
334	1480	2938
335	1482	2929
336	1485	2921
337	1490	2920
338	1493	2912
339	1495	2903
340	1500	2899
341	1504	2894
342	1507	2886
343	1509	2878
344	1511	2870
345	1519	2871
346	1521	2863
347	1524	2855
348	1527	2850
349	1531	2844
350	1533	2835
351	1536	2828
352	1539	2821
353	1548	2825
354	1550	2817
355	1553	2809
356	1555	2801
357	1557	2792
358	1560	2786
359	1562	2777
360	1564	2769
361	1566	2760
362	1568	2752
363	1571	2745
364	1574	2739
365	1577	2732
366	1579	2724
367	1584	2720
368	1586	2713
369	1590	2708
370	1593	2701
371	1596	2694
372	1599	2689
373	1602	2682
374	1605	2675
375	1607	2667
376	1609	2660
377	1612	2653
378	1615	2646
379	1620	2643
380	1622	2636
381	1625	2630
382	1628	2623
383	1632	2618
384	1634	2611
385	1637	2604
386	1639	2596
387	1642	2589
388	1645	2585
389	1649	2579
390	1651	2572
391	1654	2565
392	1656	2559
393	1660	2553
394	1662	2547
395	1665	2540
396	1668	2533
397	1670	2526
398	1675	2523
399	1677	2516
400	1680	2509
401	1682	2503
402	1685	2496
403	1689	2491
404	1694	2488
405	1699	2486
406	1704	2482
407	1709	2479
408	1712	2474
409	1715	2468
410	1721	2466
411	1724	2461
412	1727	2455
413	1730	2449
414	1735	2446
415	1740	2443
416	1744	2439
417	1753	2441
418	1757	2436
419	1768	2441
420	1771	2436
421	1774	2430
422	1777	2424
423	1780	2418
424	1784	2414
425	1788	2410
426	1791	2403
427	1793	2397
428	1796	2391
429	1799	2385
430	1802	2380
431	1805	2374
432	1808	2368
433	1811	2362
434	1814	2356
435	1819	2353
436	1821	2346
437	1824	2340
438	1826	2334
439	1829	2327
440	1833	2324
441	1835	2317
442	1838	2311
443	1841	2305
444	1844	2299
445	1848	2295
446	1850	2289
447	1853	2283
448	1855	2277
449	1860	2273
450	1862	2267
451	1865	2261
452	1868	2255
453	1872	2251
454	1876	2247
455	1878	2240
456	1880	2234
457	1883	2228
458	1887	2225
459	1890	2219
460	1892	2213
461	1895	2207
462	1897	2201
463	1901	2196
464	1904	2190
465	1910	2189
466	1918	2189
467	1921	2183
468	1923	2177
469	1926	2172
470	1930	2167
471	1933	2163
472	1936	2157
473	1942	2155
474	1946	2151
475	1949	2146
476	1952	2140
477	1958	2138
478	1961	2133
479	1964	2127
480	1967	2122
481	1972	2120
482	1975	2114
483	1977	2108
484	1981	2103
485	1987	2102
486	1990	2096
487	1993	2091
488	1996	2086
489	2002	2084
490	2005	2079
491	2009	2074
492	2011	2069
493	2016	2065
494	2019	2059
495	2022	2054
496	2024	2049
497	2027	2043
498	2029	2037
499	2032	2032
500	2035	2027
501	2039	2022
502	2042	2017
503	2044	2012
504	2047	2006
505	2050	2001
506	2059	2002
507	2061	1996
508	2063	1990
509	2066	1985
510	2069	1980
511	2073	1976
512	2079	1974
513	2082	1969
514	2085	1963
515	2087	1958
516	2090	1952
517	2094	1948
518	2097	1943
519	2099	1938
520	2102	1933
521	2105	1927
522	2108	1923
523	2111	1918
524	2115	1914
525	2120	1910
526	2123	1905
527	2127	1901
528	2129	1896
529	2134	1892
530	2137	1887
531	2139	1882
532	2142	1877
533	2144	1871
534	2149	1868
535	2152	1863
536	2155	1858
537	2157	1853
538	2160	1847
539	2167	1845
540	2169	1840
541	2172	1835
542	2175	1830
543	2178	1826
544	2182	1821
545	2185	1817
546	2189	1812
547	2193	1808
548	2195	1803
549	2198	1798
550	2201	1793
551	2205	1790
552	2208	1785
553	2211	1780
554	2213	1774
555	2215	1769
556	2219	1765
557	2221	1760
558	2224	1754
559	2227	1750
560	2233	1747
561	2235	1742
562	2238	1737
563	2241	1732
564	2262	1742
565	2267	1738
566	2271	1734
567	2279	1733
568	2284	1730
569	2287	1725
570	2292	1722
571	2303	1723
572	2312	1723
573	2315	1718
574	2318	1713
575	2322	1709
576	2325	1705
577	2332	1702
578	2338	1700
579	2356	1706
580	2366	1706
581	2373	1704
582	2384	1705
583	2406	1714
584	2410	1710
585	2413	1704
586	2416	1699
587	2424	1698
588	2429	1695
589	2436	1693
590	2439	1688
591	2442	1683
592	2451	1682
593	2454	1677
594	2459	1673
595	2464	1670
596	2472	1668
597	2481	1668
598	2493	1669
599	2510	1673
600	2515	1670
601	2519	1665
602	2522	1660
603	2525	1655
604	2528	1651
605	2543	1653
606	2570	1664
607	2578	1662
608	2582	1658
609	2585	1652
610	2587	1647
611	2593	1643
612	2597	1639
613	2599	1634
614	2606	1632
615	2613	1628
616	2615	1623
617	2620	1620
618	2623	1614
619	2625	1609
620	2628	1604
621	2631	1599
622	2636	1595
623	2639	1590
624	2643	1585
625	2648	1582
626	2651	1577
627	2654	1572
628	2657	1567
629	2660	1562
630	2665	1558
631	2668	1553
632	2672	1549
633	2676	1545
634	2680	1540
635	2684	1536
636	2687	1531
637	2691	1527
638	2695	1522
639	2702	1520
640	2707	1516
641	2711	1511
642	2715	1507
643	2720	1503
644	2724	1499
645	2727	1494
646	2737	1493
647	2742	1489
648	2748	1486
649	2751	1481
650	2754	1476
651	2759	1473
652	2765	1469
653	2770	1465
654	2809	1479
655	2814	1475
656	2824	1474
657	2829	1470
658	2839	1469
659	2850	1468
660	2854	1464
661	2864	1462
662	2868	1458
663	2877	1456
664	2882	1452
665	2891	1450
666	2897	1446
667	2908	1445
668	2913	1441
669	2922	1439
670	2928	1436
671	2936	1433
672	2951	1434
673	2959	1431
674	2962	1426
675	2967	1422
676	2981	1422
677	2990	1420
678	3015	1425
679	3019	1421
680	3026	1417
681	3036	1415
682	3043	1412
683	3056	1412
684	3071	1412
685	3078	1408
686	3085	1405
687	3091	1401
688	3096	1397
689	3101	1393
690	3107	1389
691	3114	1386
692	3120	1382
693	3124	1377
694	3136	1376
695	3141	1372
696	3144	1367
697	3147	1362
698	3152	1357
699	3158	1353
700	3162	1348
701	3167	1344
702	3173	1340
703	3180	1337
704	3182	1331
705	3188	1327
706	3191	1322
707	3193	1317
708	3199	1313
709	3203	1308
710	3206	1303
711	3209	1298
712	3212	1293
713	3216	1288
714	3221	1284
715	3237	1284
716	3240	1279
717	3248	1275
718	3253	1271
719	3266	1270
720	3268	1264
721	3272	1260
722	3278	1255
723	3280	1250
724	3283	1245
725	3287	1240
726	3291	1235
727	3294	1230
728	3299	1226
729	3304	1222
730	3308	1217
731	3312	1212
732	3317	1208
733	3321	1203
734	3324	1198
735	3329	1194
736	3333	1189
737	3336	1184
738	3339	1179
739	3344	1174
740	3349	1170
741	3353	1166
742	3356	1161
743	3359	1156
744	3366	1152
745	3372	1148
746	3382	1145
747	3390	1142
748	3394	1137
749	3400	1133
750	3403	1128
751	3406	1123
752	3410	1118
753	3414	1113
754	3416	1108
755	3426	1105
756	3437	1103
757	3440	1098
758	3444	1093
759	3447	1088
760	3450	1083
761	3452	1078
762	3455	1073
763	3457	1067
764	3459	1062
765	3466	1059
766	3471	1054
767	3475	1049
768	3477	1044
769	3482	1040
770	3483	1034
771	3486	1029
772	3488	1024
773	3490	1019
774	3493	1014
775	3496	1009
776	3499	1004
777	3501	999
778	3503	994
779	3509	989
780	3512	985
781	3515	980
782	3521	975
783	3524	971
784	3526	965
785	3528	960
786	3531	955
787	3533	950
788	3536	945
789	3540	941
790	3542	936
791	3545	931
792	3547	925
793	3549	920
794	3553	916
795	3555	911
796	3557	906
797	3559	901
798	3561	895
799	3564	891
800	3567	886
801	3569	881
802	3571	876
803	3573	871
804	3575	866
805	3578	861
806	3580	856
807	3582	851
808	3584	846
809	3586	841
810	3588	836
811	3590	831
812	3595	827
813	3598	822
814	3600	817
815	3602	812
816	3604	807
817	3609	803
818	3613	798
819	3616	793
820	3619	789
821	3625	785
822	3628	780
823	3630	775
824	3632	770
825	3634	765
826	3638	761
827	3640	756
828	3642	751
829	3644	746
830	3646	741
831	3647	736
832	3650	731
833	3653	727
834	3655	722
835	3657	717
836	3659	712
837	3661	707
838	3664	703
839	3666	698
840	3667	693
841	3669	688
842	3673	684
843	3674	679
844	3676	674
845	3679	669
846	3681	664
847	3683	660
848	3684	655
849	3686	650
850	3688	645
851	3690	641
852	3692	636
853	3694	631
854	3696	626
855	3698	622
856	3700	617
857	3702	612
858	3704	608
859	3706	603
860	3708	598
861	3710	594
862	3712	589
863	3714	584
864	3718	580
865	3721	575
866	3724	571
867	3726	566
868	3728	562
869	3730	557
870	3732	552
871	3734	548
872	3737	543
873	3740	539
874	3742	534
875	3744	530
876	3746	525
877	3749	521
878	3751	516
879	3753	511
880	3755	507
881	3757	502
882	3758	498
883	3761	493
884	3764	489
885	3766	484
886	3768	480
887	3770	475
888	3772	471
889	3775	466
890	3777	462
891	3780	457
892	3782	453
893	3783	448
894	3785	444
895	3787	439
896	3789	435
897	3791	430
898	3794	426
899	3796	421
900	3798	417
901	3801	412
902	3804	408
903	3806	404
904	3808	399
905	3811	395
906	3813	390
907	3815	386
908	3818	382
909	3821	377
910	3822	373
911	3824	369
912	3826	364
913	3828	360
914	3830	355
915	3832	351
916	3834	347
917	3837	342
918	3838	338
919	3840	333
920	3842	329
921	3845	325
922	3847	320
923	3849	316
924	3851	312
925	3853	307
926	3855	303
927	3858	299
928	3860	295
929	3862	290
930	3865	286
931	3867	282
932	3870	277
933	3872	273
934	3875	269
935	3877	265
936	3879	260
937	3881	256
938	3883	252
939	3886	248
940	3889	243
941	3892	239
942	3894	235
943	3897	231
944	3900	227
945	3902	222
946	3905	218
947	3907	214
948	3909	210
949	3912	205
950	3914	201
951	3917	197
952	3919	193
953	3922	189
954	3923	184
955	3926	180
956	3929	176
957	3931	172
958	3934	168
959	3936	164
960	3938	159
961	3943	155
962	3947	151
963	3949	147
964	3951	143
965	3953	139
966	3956	135
967	3958	130
968	3961	126
969	3963	122
970	3966	118
971	3970	114
972	3972	110
973	3975	106
974	3977	101
975	3982	97
976	3985	93
977	3987	89
978	3989	85
979	3991	81
980	3996	77
981	3998	73
982	4000	69
983	4002	65
984	4005	60
985	4008	56
986	4011	52
987	4013	48
988	4014	44
989	4016	40
990	4019	36
991	4021	32
992	4023	28
993	4029	24
994	4032	20
995	4035	16
996	4038	12
997	4041	8
998	4044	4
999	4048	0
